company_id,ticker,exchange,currency,security_type,lookup_symbol
tsmc,2330,TWSE,TWD,ordinary,2330.TW
asml,ASML,EURONEXT_AMSTERDAM,EUR,ordinary,ASML.AS
samsung-electronics,SSNLF,OTC,USD,foreign_ordinary,SSNLF
mediatek,MDTKF,OTC,USD,foreign_ordinary,MDTKF
tokyo-electron,TOELY,OTC,USD,adr,TOELY
advantest,ATEYY,OTC,USD,adr,ATEYY
sony,6758,TSE,JPY,ordinary,6758.T
ase,3711,TWSE,TWD,ordinary,3711.TW
infineon,IFNNY,OTC,USD,adr,IFNNY
smic,688981,SSE,CNY,ordinary,688981.SS
smic,SMICY,OTC,USD,adr,SMICY
shin-etsu,SHECY,OTC,USD,adr,SHECY
hoya,HOCPY,OTC,USD,adr,HOCPY
umc,2303,TWSE,TWD,ordinary,2303.TW
asm-international,ASMIY,OTC,USD,adr,ASMIY
stmicroelectronics,STM,EURONEXT_PARIS,EUR,ordinary,STM.PA
disco,DSCSY,OTC,USD,adr,DSCSY
renesas,RNECY,OTC,USD,adr,RNECY
hua-hong,688347,SSE,CNY,ordinary,688347.SS
tower,TSEM,TASE,ILS,ordinary,TSEM.TA
lasertec,LSRCY,OTC,USD,adr,LSRCY
besi,BESIY,OTC,USD,adr,BESIY
resonac,SHWDY,OTC,USD,adr,SHWDY

