company_id,calendar_year,reporting_currency,fiscal_year_weight,next_fiscal_year_weight,eps,eps_usd,fcf_per_share,fcf_per_share_usd,usd_per_reporting_currency,eps_usd_method,fcf_per_share_usd_method,pe,ev_to_fcf,net_leverage,calculation_quality,tail_imputed,missing_input_count,earnings_basis,valuation_date,forecast_source_date
nvidia,2027,USD,0.084932,0.915068,14.8474,14.8474,12.8633,12.8633,1,reported-usd,reported-usd,15.22,16.55,-0.74,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
nvidia,2028,USD,0.081967,0.918033,18.917,18.917,17.413,17.413,1,reported-usd,reported-usd,11.94,11.59,-1.02,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
tsmc,2027,TWD,1,0,141.2,4.4465,81.4231,2.5641,0.031491103763,official-fx,official-fx,16.89,27.43,-0.73,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
tsmc,2028,TWD,1,0,178.7,5.6275,113.0376,3.5597,0.031491103763,official-fx,official-fx,13.35,19.04,-0.89,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
broadcom,2027,USD,0.832877,0.167123,17.9292,17.9292,19.8574,19.8574,1,reported-usd,reported-usd,19.13,16.62,-0.49,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
broadcom,2028,USD,0.827869,0.172131,25.5,25.5,27.6195,27.6195,1,reported-usd,reported-usd,13.45,11.32,-0.86,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
samsung-electronics,2027,KRW,1,0,69839,51.4548,57957.3162,42.7008,0.000736763316,official-fx,official-fx,3.59,2.78,-0.96,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
samsung-electronics,2028,KRW,1,0,74497,54.8867,60008.0009,44.2117,0.000736763316,official-fx,official-fx,3.36,1.82,-1.4,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
micron,2027,USD,0.671233,0.328767,156.2781,156.2781,119.6242,119.6242,1,reported-usd,reported-usd,5.99,6.39,-0.86,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
micron,2028,USD,0.666667,0.333333,169.3,169.3,134.8069,134.8069,1,reported-usd,reported-usd,5.53,5.13,-1.11,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
sk-hynix,2027,KRW,1,0,479654,353.3915,392043.7598,288.8435,0.000736763316,official-fx,official-fx,3.36,2.59,-0.98,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
sk-hynix,2028,KRW,1,0,519029,382.4015,422397.8756,311.2073,0.000736763316,official-fx,official-fx,3.11,1.52,-1.45,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
amd,2027,USD,0.983562,0.016438,12.9999,12.9999,9.8782,9.8782,1,reported-usd,reported-usd,34.42,43.56,-0.99,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
amd,2028,USD,0.997268,0.002732,18.98,18.98,17.8631,17.8631,1,reported-usd,reported-usd,23.58,23.11,-1.34,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
asml,2027,EUR,1,0,51.54,59.8637,43.554,50.588,1.1615,official-fx,official-fx,27.36,31.09,-0.86,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
asml,2028,EUR,1,0,66.73,77.5069,53.1985,61.7901,1.1615,official-fx,official-fx,21.13,24.91,-1.05,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
cxmt,2027,CNY,1,0,4.754,0.7075,4.4404,0.6609,0.148830117116,official-fx,official-fx,11.43,10.56,-1.03,direct,0,0,mixed-or-net-income,2026-09-03,2026-09-08
cxmt,2028,CNY,1,0,5.44,0.8096,5.0787,0.7559,0.148830117116,official-fx,official-fx,9.99,,,partial,0,2,mixed-or-net-income,2026-09-03,2026-09-08
intel,2027,USD,0.983562,0.016438,1.5956,1.5956,-0.26,-0.26,1,reported-usd,reported-usd,55.84,,0.75,direct,0,0,published-consensus-eps,2026-09-03,2026-09-03
intel,2028,USD,0.997268,0.002732,2.05,2.05,0.672,0.672,1,reported-usd,reported-usd,43.46,135.69,0.31,flat-tail,1,0,published-consensus-eps,2026-09-03,2026-09-03
