company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at
nvidia,2024,January,USD,29760,Million,34480,27021,Million,-16275,Million,24700000,1.193,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
nvidia,2025,January,USD,72880,Million,83317,60853,Million,-43210,Million,24490000,2.94,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
nvidia,2026,January,USD,120067,Million,140143,96676,Million,-54088,Million,24299000,4.9,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
nvidia,2027,January,USD,242368,Million,271631,195362,Million,-151973,Million,24147000,9.971,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
nvidia,2028,January,USD,370924,Million,438733,321306,Million,-329603,Million,24147000,15.3,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
nvidia,2029,January,USD,460436,Million,581560,429325,Million,-604454,Million,24147000,19.24,published diluted share count,https://www.marketscreener.com/quote/stock/NVIDIA-CORPORATION-57355629/finances/,2026-09-03
tsmc,2024,December,TWD,1173268,Million,1984849,870170,Million,-1435557,Million,25932733,45.25,published diluted share count,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,2026-09-03
tsmc,2025,December,TWD,1717883,Million,2624188,1002565,Million,-2075440,Million,25932524,66.25,published diluted share count,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,2026-09-03
tsmc,2026,December,TWD,2768850,Million,4010559,1425643,Million,-2659548,Million,25932370,107.4,published diluted share count,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,2026-09-03
tsmc,2027,December,TWD,3638327,Million,5358864,2111495,Million,-3937444,Million,25932370,141.2,published diluted share count,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,2026-09-03
tsmc,2028,December,TWD,4563794,Million,6803504,2931334,Million,-6029677,Million,25932370,178.7,published diluted share count,https://www.marketscreener.com/quote/stock/TSMC-TAIWAN-SEMICONDUCTOR-6492349/finances/,2026-09-03
broadcom,2024,November,USD,5895,Million,31897,19414,Million,58218,Million,4670576,1.23,published diluted share count,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,2026-09-03
broadcom,2025,November,USD,23126,Million,43004,26914,Million,48958,Million,4722365,4.77,published diluted share count,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,2026-09-03
broadcom,2026,November,USD,45537,Million,71811,49047,Million,25740,Million,4757580,9.222,published diluted share count,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,2026-09-03
broadcom,2027,November,USD,79473,Million,117148,87063,Million,-45412,Million,4757580,16.41,published diluted share count,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,2026-09-03
broadcom,2028,November,USD,119343,Million,167760,131402,Million,-144784,Million,4757580,25.5,published diluted share count,https://www.marketscreener.com/quote/stock/BROADCOM-INC-42668543/finances/,2026-09-03
samsung-electronics,2024,December,KRW,33621,Billion,72350,21570000,Million,-93322,Billion,6792669,4950,published diluted share count,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,2026-09-03
samsung-electronics,2025,December,KRW,44261,Billion,87210,37800000,Million,-100610,Billion,6624139,6605,published diluted share count,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,2026-09-03
samsung-electronics,2026,December,KRW,313155,Billion,438832,239147488,Million,-293023,Billion,6567647,48642,published diluted share count,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,2026-09-03
samsung-electronics,2027,December,KRW,446653,Billion,608907,380643194,Million,-586576,Billion,6567647,69839,published diluted share count,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,2026-09-03
samsung-electronics,2028,December,KRW,477994,Billion,661406,394111367,Million,-927462,Billion,6567647,74497,published diluted share count,https://www.marketscreener.com/quote/stock/SAMSUNG-ELECTRONICS-CO-LT-6494906/finances/,2026-09-03
micron,2024,August,USD,778,Million,9084,121,Million,5291,Million,1108841,0.7,published diluted share count,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,2026-09-03
micron,2025,August,USD,8539,Million,18122,1668,Million,4270,Million,1119125,7.59,published diluted share count,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,2026-09-03
micron,2026,August,USD,82690,Million,107399,49477,Million,-43073,Million,1129393,72.67,published diluted share count,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,2026-09-03
micron,2027,August,USD,164306,Million,213506,126704,Million,-154073,Million,1129393,149.9,published diluted share count,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,2026-09-03
micron,2028,August,USD,190778,Million,248986,152250,Million,-277054,Million,1129393,169.3,published diluted share count,https://www.marketscreener.com/quote/stock/MICRON-TECHNOLOGY-INC-13639/finances/,2026-09-03
sk-hynix,2024,December,KRW,19797,Billion,36013,14021000,Million,8528,Billion,689039,28322,published diluted share count,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,2026-09-03
sk-hynix,2025,December,KRW,42919,Billion,61095,26070000,Million,-7418,Billion,690455,60372,published diluted share count,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,2026-09-03
sk-hynix,2026,December,KRW,255309,Billion,289984,185370827,Million,-180635,Billion,728866,349657,published diluted share count,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,2026-09-03
sk-hynix,2027,December,KRW,337149,Billion,442638,285747367,Million,-434911,Billion,728866,479654,published diluted share count,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,2026-09-03
sk-hynix,2028,December,KRW,374460,Billion,487816,307871450,Million,-708544,Billion,728866,519029,published diluted share count,https://www.marketscreener.com/quote/stock/SK-HYNIX-INC-6494929/finances/,2026-09-03
amd,2024,December,USD,1641,Million,4964,2405,Million,-3411,Million,1622807,1,published diluted share count,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,2026-09-03
amd,2025,December,USD,4335,Million,6698,5519,Million,-7330,Million,1628042,2.65,published diluted share count,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,2026-09-03
amd,2026,December,USD,9378,Million,13517,7456,Million,-12481,Million,1632475,5.729,published diluted share count,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,2026-09-03
amd,2027,December,USD,21346,Million,28241,15908,Million,-27616,Million,1632475,12.9,published diluted share count,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,2026-09-03
amd,2028,December,USD,32577,Million,42158,29161,Million,-56658,Million,1632475,18.98,published diluted share count,https://www.marketscreener.com/quote/stock/AMD-ADVANCED-MICRO-DEVICE-19475876/finances/,2026-09-03
