company_id,fiscal_year,fiscal_period,reporting_currency,net_income,income_scale,ebitda,fcf,fcf_scale,net_debt,net_debt_scale,diluted_shares_thousands,source_eps,share_source_method,source_url,source_retrieved_at,override_fields,source_note
cxmt,2027,December,CNY,,Million,,,Million,,Million,67884099,,post-IPO ordinary shares,https://static.cninfo.com.cn/finalpage/2026-07-24/1225439526.PDF,2026-09-08,diluted_shares_thousands,Post-IPO share count including the exercised greenshoe
cxmt,2028,December,CNY,366472,Million,,344763,Million,,Million,67884099,5.44,post-IPO ordinary shares,https://basic.10jqka.com.cn/688825/worth.html,2026-09-08,,EPS and earnings are broad analyst consensus; FCF is the Simply Wall St analyst consensus at https://simplywall.st/stocks/cn/semiconductors/shse-688825/cxmt-shares/future
cerebras,2027,December,USD,348.9,Million,1232,-1848,Million,-2665,Million,237564,1.097,published diluted share count,https://www.marketscreener.com/quote/stock/CEREBRAS-SYSTEMS-INC-212191339/finances/,2026-09-08,,Current FactSet consensus exposed by MarketScreener
cerebras,2028,December,USD,2391,Million,3614,3088,Million,-5110,Million,237564,7.971,published diluted share count,https://www.marketscreener.com/quote/stock/CEREBRAS-SYSTEMS-INC-212191339/finances/,2026-09-08,,Current FactSet consensus exposed by MarketScreener
sj-semiconductor,2027,December,CNY,1646.33,Million,4939,233,Million,,Million,1862774,0.88,post-IPO ordinary shares,https://www.finanzen.at/schaetzungen/sj_semiconductor_a,2026-09-08,,FactSet mean estimates exposed by finanzen.at
sj-semiconductor,2028,December,CNY,2230.33,Million,5921,1264,Million,,Million,1862774,1.20,post-IPO ordinary shares,https://www.finanzen.at/schaetzungen/sj_semiconductor_a,2026-09-08,,FactSet mean estimates exposed by finanzen.at
moore-threads,2027,December,CNY,485.7,Million,623,472.33332,Million,,Million,470028,1.033,published diluted share count,https://www.marketscreener.com/quote/stock/MOORE-THREADS-TECHNOLOGY--201029030/finances/,2026-09-08,,FCF reconstructed as CFO per share times diluted shares less consensus capex
moore-threads,2028,December,CNY,1676,Million,1922,2709.6666,Million,,Million,470028,3.57,published diluted share count,https://www.marketscreener.com/quote/stock/MOORE-THREADS-TECHNOLOGY--201029030/finances/,2026-09-08,,FCF reconstructed as CFO per share times diluted shares less consensus capex
dapustor,2027,December,CNY,5458,Million,,,Million,,Million,436216,12.51,post-IPO ordinary shares,https://basic.10jqka.com.cn/301666/worth.html,2026-09-08,,Single-analyst estimate displayed by 10jqka; FCF omitted because capex consensus is unavailable
dapustor,2028,December,CNY,8944,Million,,,Million,,Million,436216,20.50,post-IPO ordinary shares,https://basic.10jqka.com.cn/301666/worth.html,2026-09-08,,Single-analyst estimate displayed by 10jqka; FCF omitted because capex consensus is unavailable
coherent,2029,June,USD,,Million,,2140.43224,Million,,Million,,,published diluted share count,https://www.marketscreener.com/quote/stock/COHERENT-CORP-9656/finances/,2026-09-08,,FCF reconstructed as consensus CFO per share times diluted shares less consensus capex
changchuan,2027,December,CNY,,Million,,1857.178,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/300604/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
changchuan,2028,December,CNY,,Million,,270.7342,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/300604/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
longsys,2027,December,CNY,,Million,,18355.43458,Million,,Million,455746,,current ordinary share count,https://www.marketscreener.com/quote/stock/SHENZHEN-LONGSYS-ELECTRON-146716281/finances/,2026-09-08,diluted_shares_thousands,FCF reconstructed as consensus CFO per share times current diluted shares less consensus capex
longsys,2028,December,CNY,,Million,,8976.96476,Million,,Million,455746,,current ordinary share count,https://www.marketscreener.com/quote/stock/SHENZHEN-LONGSYS-ELECTRON-146716281/finances/,2026-09-08,diluted_shares_thousands,FCF reconstructed as consensus CFO per share times current diluted shares less consensus capex
centec,2027,December,CNY,433,Million,164,195,Million,-1294,Million,410000,1.06,published diluted share count,https://basic.10jqka.com.cn/688702/worth.html,2026-09-08,net_income;source_eps,EPS and earnings are broad analyst consensus; FCF EBITDA and net debt are from Open Source Securities at https://pdf.dfcfw.com/pdf/H3_AP202604241821529215_1.pdf
centec,2028,December,CNY,1202,Million,214,217,Million,-1588,Million,410000,2.93,published diluted share count,https://basic.10jqka.com.cn/688702/worth.html,2026-09-08,,EPS and earnings are broad analyst consensus; FCF EBITDA and net debt are from Open Source Securities at https://pdf.dfcfw.com/pdf/H3_AP202604241821529215_1.pdf
acm-shanghai,2028,December,CNY,,Million,,3376,Million,,Million,,,published diluted share count,https://pdf.dfcfw.com/pdf/H3_AP202603041820251188_1.pdf,2026-09-08,,FCF reconstructed from BOCI forecast operating cash flow less forecast capex
skyverse,2027,December,CNY,,Million,,-843.89564,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/688361/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
skyverse,2028,December,CNY,,Million,,-833.2208,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/688361/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
lasertec,2027,June,JPY,,Million,,74605,Million,,Million,,,published diluted share count,https://www.finanzen.net/schaetzungen/lasertec,2026-09-08,,FactSet mean FCF estimate exposed by finanzen.net
lasertec,2029,June,JPY,165676.90,Million,226557.43,114910.25,Million,-201115.95,Million,89631,1875.01,published diluted share count,https://www.finanzen.net/schaetzungen/lasertec,2026-09-08,,FactSet mean estimates exposed by finanzen.net
eswin-materials,2027,December,CNY,-69,Million,,,Million,,Million,4037800,-0.02,current ordinary share count,https://basic.10jqka.com.cn/688783/worth.html,2026-09-08,,Two-analyst mean estimate displayed by 10jqka; FCF omitted because capex consensus is unavailable
eswin-materials,2028,December,CNY,212,Million,,,Million,,Million,4037800,0.06,current ordinary share count,https://basic.10jqka.com.cn/688783/worth.html,2026-09-08,,Two-analyst mean estimate displayed by 10jqka; FCF omitted because capex consensus is unavailable
biwin,2027,December,CNY,,Million,,8647.2204,Million,1507,Million,,,published diluted share count,https://basic.10jqka.com.cn/688525/worth.html,2026-09-08,,FCF uses broad 10jqka CFO per share and MarketScreener capex; net debt uses the Guosen model at https://pdf.dfcfw.com/pdf/H3_AP202604191821320225_1.pdf
biwin,2028,December,CNY,,Million,10831,11107.17666,Million,527,Million,,,published diluted share count,https://basic.10jqka.com.cn/688525/worth.html,2026-09-08,,FCF uses broad 10jqka CFO per share and MarketScreener capex; EBITDA and net debt use the Guosen model at https://pdf.dfcfw.com/pdf/H3_AP202604191821320225_1.pdf
tongfu,2027,December,CNY,,Million,,2333.16948,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/002156/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
tongfu,2028,December,CNY,,Million,,1081.65008,Million,,Million,,,published diluted share count,https://basic.10jqka.com.cn/002156/worth.html,2026-09-08,,FCF reconstructed from 10jqka CFO per share and MarketScreener capex and diluted shares
techwinsemi,2027,December,CNY,6772,Million,10387,-4726,Million,18539,Million,226846,29.85,current ordinary share count,https://basic.10jqka.com.cn/001309/worth.html,2026-09-08,diluted_shares_thousands,EPS and earnings are broad analyst consensus; FCF EBITDA and net debt use Guosen forecast statements at https://pdf.dfcfw.com/pdf/H3_AP202604211821376781_1.pdf
